Name,Team,Nat,Age,Pos,Height,Weight,Apps(Subs),Mins,Goals,Assists,Yel,Red,SpG,PS%,AerWon,MoM,Tackles,Inter,Fouls,OffW,Clear,DrbPast,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsT,AvgP,Crosses,LongB,ThrB,Rat,Season
Robert Snodgrass,WHUFC,sct,33,M(CLR),182,82,17(7),1513,5,5,4,-,0.9,77.8,0.6,1,1.2,0.2,0.8,-,0.5,1.3,-,-,1.4,0.8,1.3,0.2,1,0.7,21,1.6,0.7,-,6.79,2019_2020
Ben Johnson,WHUFC,eng,20,Defender,175,67,3,270,-,-,-,-,0.3,72.7,2.3,-,2.7,1,2.7,-,3.3,1,0.7,-,0.3,0.3,0.3,-,0.3,1,40.3,0.7,2,-,6.76,2019_2020
Angelo Ogbonna,WHUFC,it,32,D(C),191,86,31,2787,2,-,4,-,0.4,76.2,3.3,-,1.2,0.9,0.7,0.8,4.2,0.5,1,1,0.1,0.2,0.5,-,0.1,0.3,31.5,-,2.5,-,6.74,2019_2020
Jeremy Ngakia,WHUFC,eng,20,D(R),0,0,5,441,-,-,-,-,0.2,53.8,1.4,-,3,1.4,0.8,0.4,3,2.4,0.2,-,-,1.8,0.2,0.2,0.4,1.2,21.2,0.2,1.2,-,6.67,2019_2020
Mark Noble,WHUFC,eng,33,M(C),180,70,32(1),2686,4,3,5,-,0.5,82.8,0.5,1,1.6,0.6,0.8,-,0.3,1.3,0.2,-,1.3,0.8,0.9,-,0.9,1.3,45.6,0.4,3.4,0.1,6.67,2019_2020
Issa Diop,WHUFC,fr,23,D(C),194,92,31(1),2766,3,1,8,-,0.5,78,2.5,-,0.8,1.5,1,1,5.1,0.3,0.7,-,0.2,0.2,0.3,-,0.2,0.3,30.4,-,1.5,-,6.62,2019_2020
Lukasz Fabianski,WHUFC,pl,35,GK,190,83,25,2119,-,-,1,-,-,50.9,0.5,-,0.1,-,-,-,0.8,0.1,-,-,-,-,0.1,-,-,-,22.9,-,8,-,6.62,2019_2020
Aaron Cresswell,WHUFC,eng,30,"D(CL),M(L)",170,66,31,2730,3,-,7,-,0.5,74.6,1.5,-,1.4,1.1,0.5,0.4,1.9,0.7,0.3,-,0.8,0.4,0.5,0.1,0.3,0.6,40.4,0.8,2.2,-,6.62,2019_2020
Arthur Masuaku,WHUFC,cd,26,"D(L),M(L)",179,70,10(7),935,-,1,4,1,0.3,80.3,0.7,1,2.4,0.8,0.6,0.4,1.3,0.9,0.3,-,0.4,1.6,0.5,-,1.1,0.9,29.6,0.3,1,-,6.60,2019_2020
Roberto Jiménez,WHUFC,es,34,GK,192,94,7(1),686,-,-,-,-,-,42.4,0.5,-,-,-,-,-,1.3,-,-,1,-,-,0.1,-,-,0.1,25.4,-,6.1,-,6.56,2019_2020
Manuel Lanzini,WHUFC,ar,27,AM(CLR),167,59,14(10),1378,-,2,1,-,1,86.9,0.3,1,0.6,0.4,0.3,-,0.1,1.3,-,-,1.3,1.4,1.1,0.2,0.7,1.3,31.5,0.6,1,-,6.55,2019_2020
Fabián Balbuena,WHUFC,py,29,D(C),188,82,13(4),1176,1,-,2,-,0.6,71.6,3.2,-,1,1.5,0.4,0.6,4.2,0.9,0.3,-,0.1,0.1,0.1,-,0.1,0.4,29.6,-,2.1,-,6.51,2019_2020
Andriy Yarmolenko,WHUFC,ua,31,AM(R),189,81,10(13),990,5,1,2,-,1.1,80.6,0.2,1,0.6,0.3,0.7,-,0.2,0.7,-,-,0.8,0.4,0.4,0.3,0.5,1,17.5,0.2,1,-,6.51,2019_2020
Pablo Fornals,WHUFC,es,24,M(CLR),178,67,24(12),2179,2,5,3,-,1,78.8,0.3,1,1.3,0.7,0.5,-,0.2,1.3,-,-,0.5,0.4,0.4,0.2,0.7,1.1,23.4,0.3,1.1,-,6.48,2019_2020
David Martin,WHUFC,eng,34,GK,185,85,4(1),436,-,-,1,-,-,40.5,0.2,1,-,-,-,-,0.4,-,-,-,-,-,-,-,-,-,22.2,-,8,-,6.43,2019_2020
Pablo Zabaleta,WHUFC,ar,35,"D(R),DMC,M(R)",176,74,6(4),590,-,-,2,-,-,75.5,0.8,-,1.8,1.4,0.7,0.1,1.6,0.7,0.3,-,0.3,0.2,0.9,-,0.1,0.4,24.9,0.1,0.6,-,6.42,2019_2020
Nathan Holland,WHUFC,eng,22,AM(L),178,70,0(2),31,-,-,-,-,0.5,81.8,-,-,1.5,-,-,-,-,-,-,-,-,1.5,0.5,-,0.5,1.5,5.5,-,-,-,6.38,2019_2020
Darren Randolph,WHUFC,ie,33,GK,188,98,2,180,-,-,-,-,-,50,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,18,-,8,-,6.31,2019_2020
Chicharito,WHUFC,mx,32,FW,175,73,1(1),107,1,-,-,-,1.5,85,-,-,-,0.5,-,-,-,0.5,-,-,-,-,-,1,0.5,0.5,10,-,-,-,6.30,2019_2020
Carlos Sánchez,WHUFC,co,34,"D(C),M(C)",182,80,1(5),113,-,-,-,-,-,81.4,0.3,-,0.2,0.3,0.3,-,0.2,-,-,-,-,0.2,-,-,0.2,-,9.8,-,0.7,-,6.14,2019_2020
Jack Wilshere,WHUFC,eng,28,M(CLR),172,68,2(6),212,-,-,-,-,-,82.7,0.8,-,0.1,0.1,0.1,-,-,0.5,-,-,-,0.1,1,-,1.1,1,9.4,-,0.1,-,6.01,2019_2020
Albian Ajeti,WHUFC,ch,23,FW,183,78,0(9),132,-,-,-,-,0.3,80,0.1,-,0.1,-,0.7,-,-,-,-,-,0.2,-,-,0.2,0.2,0.4,1.7,-,-,-,5.97,2019_2020
Felipe Anderson,WHUFC,br,27,"M(CLR),FW",175,70,36,3054,9,4,3,-,1.6,76,0.3,6,2.5,1.1,0.8,-,0.3,1.9,-,-,1.8,2.1,1.4,0.1,1.5,2.7,46.3,0.9,2.4,0.3,7.23,2018_2019
Lukasz Fabianski,WHUFC,pl,35,GK,190,83,38,3420,-,-,-,-,-,49.7,0.3,1,-,-,-,-,0.7,0.1,-,-,0.1,0.1,0.2,-,-,-,28.2,-,8.5,-,7.02,2018_2019
Fabián Balbuena,WHUFC,py,29,D(C),188,82,23,2014,1,-,2,-,0.8,79.4,3,1,1.7,2.3,0.8,0.6,7.5,1.1,0.6,-,0.1,-,0.2,-,0.1,0.2,36.2,-,2.2,-,6.98,2018_2019
Declan Rice,WHUFC,eng,21,"D(C),DMC",185,76,34,3005,2,-,4,-,0.6,86.4,1.6,2,2.9,1.5,0.5,-,1.6,1.5,0.4,-,0.3,0.8,0.2,-,0.6,0.6,44.6,-,2.9,-,6.93,2018_2019
Michail Antonio,WHUFC,eng,30,"D(R),M(CLR),FW",180,82,22(11),2101,6,4,3,-,2,68.1,2.4,2,0.7,0.5,1,0.1,0.6,0.2,0.1,-,0.7,1.8,1.3,0.3,2.1,2.5,20.2,0.2,0.8,0.1,6.92,2018_2019
Arthur Masuaku,WHUFC,cd,26,"D(L),M(L)",179,70,19(4),1758,-,1,2,-,0.2,83.3,0.9,1,2.5,1.6,0.7,0.7,2.4,1.1,0.3,-,0.6,1.6,0.2,-,1.2,1,38.3,0.2,2.2,-,6.90,2018_2019
Issa Diop,WHUFC,fr,23,D(C),194,92,33,2970,1,-,4,-,0.4,86,2.3,1,2.1,1.9,0.5,1.1,4.7,0.6,1.1,1,0.1,0.2,0.5,0.1,-,0.4,34.4,-,1.6,-,6.89,2018_2019
Marko Arnautovic,WHUFC,at,31,"AM(CLR),FW",192,83,24(4),2001,10,4,3,-,2.2,74.7,0.9,2,0.3,0.1,1.1,-,0.2,0.2,0.1,-,1.3,0.7,0.4,0.8,1.1,1.7,22.9,0.2,0.4,0.1,6.84,2018_2019
Robert Snodgrass,WHUFC,sct,33,M(CLR),182,82,25(8),2224,2,5,10,-,0.9,82.1,0.8,3,1.3,0.3,1.1,0.1,0.5,1,0.1,-,1.8,1,1.5,0.1,1.3,1.8,29.4,1.8,0.8,0.1,6.78,2018_2019
Ryan Fredericks,WHUFC,eng,28,"D(R),M(R)",181,74,12(3),1086,1,-,5,-,0.3,70.9,1.3,1,2.5,0.9,0.6,0.3,2.6,0.7,0.3,-,0.2,0.8,0.7,0.1,0.1,0.6,29.1,0.3,0.9,-,6.76,2018_2019
Pablo Zabaleta,WHUFC,ar,35,"D(R),DMC,M(R)",176,74,23(3),2092,-,1,4,-,0.3,76.7,1.8,-,1.8,1.8,0.7,0.3,3.3,1,0.6,-,0.3,0.5,1.2,-,0.5,0.7,33.1,0.3,1.4,-,6.74,2018_2019
Angelo Ogbonna,WHUFC,it,32,D(C),191,86,20(4),1871,1,1,2,-,0.6,83.6,3.2,-,1.3,1.5,0.6,1,4.1,0.4,0.8,-,0.2,-,0.3,-,0.2,0.2,33.1,-,1.8,-,6.74,2018_2019
Manuel Lanzini,WHUFC,ar,27,AM(CLR),167,59,8(2),689,1,1,2,-,1.1,89.6,0.3,-,1.2,0.9,0.5,-,0.7,1.3,0.1,-,0.5,1.3,0.7,-,1.2,1.5,45.2,0.2,0.9,-,6.72,2018_2019
Jack Wilshere,WHUFC,eng,28,M(CLR),172,68,4(4),389,-,1,2,-,0.3,89.8,0.3,-,0.9,0.9,0.9,-,-,0.5,0.1,-,0.6,1.9,1.5,-,0.9,0.4,27,-,1.9,-,6.68,2018_2019
Aaron Cresswell,WHUFC,eng,30,"D(CL),M(L)",170,66,18(2),1591,-,1,1,-,0.6,81.4,1.3,-,1.5,1.2,0.1,0.4,2.1,0.6,0.4,-,0.9,0.3,0.6,0.1,0.3,0.7,40.6,0.8,1.5,-,6.68,2018_2019
Mark Noble,WHUFC,eng,33,M(C),180,70,29(2),2308,5,5,6,1,0.5,85.3,0.3,-,1.5,0.7,0.7,-,0.4,1.2,0.1,-,0.7,0.5,1.2,-,1.1,0.9,48.6,0.2,4.4,0.2,6.65,2018_2019
Chicharito,WHUFC,mx,32,FW,175,73,14(11),1339,7,1,2,-,1.5,71.1,0.5,-,0.1,-,0.4,-,0.3,0.2,-,-,0.2,0.5,1.4,0.4,0.4,1.2,12.9,-,0.4,0.1,6.59,2018_2019
Samir Nasri,WHUFC,fr,33,M(CLR),175,75,3(2),246,-,2,-,-,0.6,88.4,-,-,-,0.2,0.6,-,0.2,-,-,-,1.2,0.4,0.4,0.6,-,-,31,0.2,1.4,-,6.53,2018_2019
Pedro Obiang,WHUFC,es,28,DMC,185,75,12(12),1121,-,1,-,-,0.6,80,0.7,-,1.7,0.5,0.5,0.1,0.6,1,0.4,-,0.3,0.3,0.5,0.1,0.2,0.5,22.3,0.1,2,-,6.44,2018_2019
Grady Diangana,WHUFC,eng,22,AM(LR),180,73,6(11),608,-,1,-,-,0.6,77.9,0.4,-,1.2,0.1,0.2,0.1,0.2,0.5,-,-,0.7,1.2,0.6,0.1,1.1,1.6,14.4,0.2,0.2,-,6.38,2018_2019
Andy Carroll,WHUFC,eng,31,FW,193,79,3(9),456,-,-,2,-,1.2,61,3.8,-,0.3,0.1,0.9,0.1,0.7,0.3,0.2,-,0.3,0.3,0.7,0.3,0.7,1.3,11.3,-,0.4,-,6.33,2018_2019
Lucas Pérez,WHUFC,es,32,"AM(CR),FW",180,82,4(11),469,3,-,-,-,0.6,70.6,0.2,-,0.4,0.1,0.3,-,0.2,0.1,-,-,0.5,0.3,0.2,0.2,0.5,1,9.5,0.1,0.1,-,6.32,2018_2019
Andriy Yarmolenko,WHUFC,ua,31,AM(R),189,81,5(4),461,2,-,2,-,1,82.3,0.3,-,0.4,0.2,0.9,-,0.3,0.2,0.1,-,0.6,0.2,0.9,0.1,1.2,1.3,22.6,-,0.9,-,6.28,2018_2019
Ben Johnson,WHUFC,eng,20,Defender,175,67,1,63,-,-,-,-,-,78.6,-,-,1,1,-,2,3,1,-,-,-,-,-,-,-,1,14,-,-,-,6.19,2018_2019
Xande Silva,WHUFC,pt,23,Forward,177,69,0(1),17,-,-,-,-,2,75,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,4,-,-,-,6.12,2018_2019
Carlos Sánchez,WHUFC,co,34,"D(C),M(C)",182,80,2(5),240,-,-,-,-,0.4,88.8,0.1,-,0.6,0.1,0.4,-,0.7,0.7,-,-,0.3,0.4,0.1,-,0.3,0.1,20.4,-,1.9,-,6.01,2018_2019
Marko Arnautovic,WHUFC,at,31,"AM(CLR),FW",192,83,28(3),2323,11,6,5,1,2.3,71.5,0.7,5,0.7,0.4,1.1,-,1,0.4,0.1,-,1.1,1.8,0.9,1.4,1.4,1.9,22.1,0.3,0.3,0.1,7.07,2017_2018
Manuel Lanzini,WHUFC,ar,27,AM(CLR),167,59,23(4),2049,5,6,4,-,1.6,87.6,0.1,2,0.7,1.1,0.3,-,0.2,1.2,-,-,1.5,2.4,1.3,0.1,1.7,1.1,45,0.6,1.1,0.1,7.04,2017_2018
Arthur Masuaku,WHUFC,cd,26,"D(L),M(L)",179,70,21(6),1873,-,3,5,-,0.3,80.5,0.9,2,2.1,1,1.1,-,1.2,1.2,0.1,-,0.6,3.1,1.1,0.1,1.4,1.7,25.3,0.5,1,-,7.02,2017_2018
James Collins,WHUFC,wls,37,D(C),188,83,12(1),1050,1,-,3,-,0.3,72.6,3.6,-,1.2,1.2,1,0.4,9.1,0.2,0.8,-,0.2,0.1,0.2,-,-,0.2,30,-,3.1,-,6.92,2017_2018
José Fonte,WHUFC,pt,36,D(C),187,81,8,690,-,1,-,-,1,80.7,2.6,2,1.4,1.8,0.8,0.6,4.5,0.5,1.1,-,0.5,0.1,0.6,-,0.1,0.4,43.4,0.3,3.8,-,6.89,2017_2018
Michail Antonio,WHUFC,eng,30,"D(R),M(CLR),FW",180,82,16(5),1358,3,1,1,-,1.6,67.8,2,-,0.7,0.6,0.8,-,0.7,0.5,-,-,0.7,2.4,1.4,0.3,2,2.6,18.3,0.6,1,0.1,6.88,2017_2018
Pedro Obiang,WHUFC,es,28,DMC,185,75,18(3),1565,2,-,3,-,0.6,80.4,1,2,2.5,1.1,1.3,0.1,0.9,1.6,0.8,-,0.3,1.1,1.1,-,0.9,0.8,36,0.1,2.3,-,6.85,2017_2018
Mark Noble,WHUFC,eng,33,M(C),180,70,28(1),2405,4,-,6,-,0.5,83.9,0.3,1,2.1,1.7,1,-,0.7,2.1,0.3,-,0.7,0.7,1.6,0.1,0.8,0.8,45.7,0.3,3.9,0.2,6.81,2017_2018
Cheikhou Kouyaté,WHUFC,sn,30,"D(CR),DMC",189,83,32(1),2803,2,3,5,-,0.7,76,3.7,2,2.2,1,1.4,0.1,1.5,1.2,0.3,-,0.5,0.6,1.2,0.2,0.9,1.5,28.9,0.1,0.5,-,6.80,2017_2018
Adrián,WHUFC,es,33,GK,190,80,19,1710,-,-,2,-,-,42.5,0.2,-,0.1,-,0.1,-,1.1,0.2,-,-,-,-,0.2,-,-,-,27.4,-,9.2,-,6.78,2017_2018
Angelo Ogbonna,WHUFC,it,32,D(C),191,86,32,2880,1,-,3,-,0.3,79.8,2.5,-,1,1.8,0.5,0.5,6,0.3,0.8,-,0.2,0.3,0.5,-,0.1,0.3,31.7,0.1,2.8,-,6.75,2017_2018
Pablo Zabaleta,WHUFC,ar,35,"D(R),DMC,M(R)",176,74,37,3291,-,1,9,-,0.2,73.2,1.6,-,2.6,1.6,0.9,-,3.4,1.4,0.4,1,0.5,0.2,0.9,-,0.4,0.6,31.2,0.4,1.5,-,6.74,2017_2018
João Mário,WHUFC,pt,27,M(CLR),179,73,12(1),1027,2,1,-,-,1.2,81.3,0.5,-,1.1,0.7,1.1,-,0.2,1,-,-,1.2,1.3,1.5,-,1.4,2.7,33.8,0.8,0.8,0.1,6.74,2017_2018
Sam Byram,WHUFC,eng,27,"D(LR),M(R)",180,72,2(3),247,-,-,1,-,0.8,58.3,2.4,-,1.8,1.8,0.8,-,2.4,1,0.4,-,0.4,0.4,0.2,0.2,-,1,16.8,0.6,0.6,-,6.70,2017_2018
Andy Carroll,WHUFC,eng,31,FW,193,79,7(9),748,3,-,5,1,1.8,61.3,4.8,1,0.2,0.1,1.8,-,0.9,0.1,0.1,-,0.4,0.6,0.9,0.4,0.6,1.3,15.5,0.2,0.6,-,6.69,2017_2018
Aaron Cresswell,WHUFC,eng,30,"D(CL),M(L)",170,66,35(1),3073,1,7,7,-,0.6,77.1,1.6,-,0.9,1.3,0.6,0.2,3.1,0.3,0.5,-,0.9,0.1,0.4,0.1,0.6,0.7,36.1,1,2.7,-,6.69,2017_2018
Winston Reid,WHUFC,nz,32,D(C),190,87,17,1454,-,-,5,-,0.3,81.8,2.6,-,0.6,1.3,0.8,0.5,5.9,0.6,0.8,-,0.2,-,0.9,-,0.2,0.4,38.8,-,3.2,-,6.62,2017_2018
Chicharito,WHUFC,mx,32,FW,175,73,16(12),1544,8,-,3,-,1,73.2,0.5,1,0.4,0.2,0.5,-,-,0.4,-,-,0.8,0.8,1.8,0.5,1.4,1.4,13.3,0.2,0.7,-,6.58,2017_2018
Declan Rice,WHUFC,eng,21,"D(C),DMC",185,76,15(11),1424,-,-,1,-,0.2,78.6,1.2,-,1.4,1,0.2,0.2,2.7,0.3,0.5,-,0.1,0.1,0.1,-,0.1,0.2,22,-,1.7,-,6.49,2017_2018
André Ayew,WHUFC,gh,30,"M(CLR),FW",176,72,9(9),892,3,2,2,-,0.7,76.7,0.9,-,1.1,0.2,0.3,-,0.2,0.7,-,-,0.2,0.7,0.9,0.2,0.9,0.6,15.5,0.1,0.2,-,6.42,2017_2018
Edimilson Fernandes,WHUFC,ch,24,M(CR),187,77,9(5),846,-,1,1,-,0.5,78.4,0.7,-,1.2,1.1,0.4,-,0.3,0.9,0.1,-,0.5,0.7,0.8,-,0.4,1.4,19.1,0.1,1.3,-,6.39,2017_2018
Patrice Evra,WHUFC,fr,39,"D(CL),M(L)",174,75,3(2),229,-,-,-,-,-,70.1,1.4,-,1.2,1.4,-,0.4,1.2,0.4,0.2,-,-,0.6,0.4,0.2,1,-,19.4,-,1,-,6.29,2017_2018
Joe Hart,WHUFC,eng,33,GK,196,91,19,1710,-,1,-,-,-,44.3,0.2,1,0.1,-,0.1,-,0.8,0.1,-,-,0.1,0.1,0.1,-,-,-,28.6,-,9.7,-,6.27,2017_2018
Reece Oxford,WHUFC,eng,21,"D(C),DMC",190,86,0(1),4,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,6.18,2017_2018
Josh Cullen,WHUFC,ie,24,DMC,175,70,0(2),6,-,-,-,-,-,75,-,-,-,1,-,-,-,0.5,0.5,-,-,-,-,-,-,-,2,-,-,-,6.15,2017_2018
Diafra Sakho,WHUFC,sn,30,FW,184,79,0(14),296,2,-,2,-,0.6,60.9,1.1,-,0.4,0.1,0.3,-,0.1,0.2,-,-,0.1,0.1,0.4,0.4,0.9,1.3,4.6,0.1,0.2,-,6.14,2017_2018
Jordan Hugill,WHUFC,eng,28,FW,183,64,0(3),22,-,-,-,-,-,25,1.3,-,-,-,1,-,-,0.3,-,-,-,0.3,0.3,-,0.7,-,2.7,-,-,-,6.11,2017_2018
Dimitri Payet,WHUFC,fr,33,M(CLR),175,77,17(1),1515,2,6,2,-,3.1,80.7,0.2,5,0.5,0.3,0.4,-,0.3,0.8,-,-,4.1,2.6,1.9,-,1.4,1.7,42.4,2.8,2.4,0.2,7.53,2016_2017
Andy Carroll,WHUFC,eng,31,FW,193,79,15(3),1314,7,1,3,-,2.2,58.2,9.1,4,0.3,0.3,1.3,-,2.1,0.3,0.1,-,0.8,0.2,1.6,0.2,1.3,1.7,24.2,0.2,0.8,-,7.42,2016_2017
Michail Antonio,WHUFC,eng,30,"D(R),M(CLR),FW",180,82,29,2440,9,3,4,1,2.7,73,2,3,1.1,1,1.1,0.2,1.3,0.7,0.1,-,1.1,2.6,1.7,0.7,1.9,2.4,22,0.8,1,0.1,7.25,2016_2017
Arthur Masuaku,WHUFC,cd,26,"D(L),M(L)",179,70,11(2),972,-,1,1,-,0.3,87.6,1.2,1,3.1,2,1.2,0.3,2.1,1.1,0.1,-,0.5,2.3,0.8,-,1.2,0.5,36,0.5,2.5,-,7.13,2016_2017
Manuel Lanzini,WHUFC,ar,27,AM(CLR),167,59,31(4),2716,8,2,9,-,2,87.3,0.1,3,1.3,1.3,0.6,-,0.3,1.1,-,-,1.6,2.5,1.1,0.2,1.1,1.7,45.2,0.6,1.3,0.1,7.11,2016_2017
Winston Reid,WHUFC,nz,32,D(C),190,87,30,2590,2,2,8,1,0.4,80.8,1.9,-,1.1,2.7,1,0.6,8.1,0.6,0.8,-,0.3,0.3,1.2,-,0.1,0.2,32.8,-,3.5,-,7.08,2016_2017
Cheikhou Kouyaté,WHUFC,sn,30,"D(CR),DMC",189,83,31,2728,1,-,3,-,0.7,83.4,2.5,1,2.5,2.5,1.4,0.2,3.6,0.7,0.2,-,0.3,0.8,1.2,0.1,0.6,1,34.5,0.1,1.4,-,7.04,2016_2017
James Collins,WHUFC,wls,37,D(C),188,83,19(3),1654,2,-,3,-,0.5,78.4,2.7,1,1,1.7,0.3,0.4,6.7,0.6,0.8,-,0.2,-,0.3,-,-,0.1,26.4,-,2.3,-,6.87,2016_2017
José Fonte,WHUFC,pt,36,D(C),187,81,16,1405,-,-,2,-,0.4,80.2,2.6,1,1.4,2.4,0.7,0.3,5.8,0.4,0.8,-,0.3,0.3,0.3,-,-,0.4,42.9,0.1,3.1,-,6.87,2016_2017
Pedro Obiang,WHUFC,es,28,DMC,185,75,21(1),1767,1,1,7,-,0.4,81.4,1,2,2.8,1.5,1.2,-,1.3,1.3,0.3,-,0.3,1,1.8,-,0.7,0.6,41.4,-,3.1,0.1,6.86,2016_2017
Angelo Ogbonna,WHUFC,it,32,D(C),191,86,20,1756,-,-,2,-,0.2,81.2,2.2,-,1.4,1.9,0.7,0.8,4.8,0.2,0.7,-,0.3,0.2,0.2,-,0.3,0.4,40.3,0.1,2.6,-,6.70,2016_2017
Adrián,WHUFC,es,33,GK,190,80,16,1440,-,-,1,-,-,49.4,0.1,-,-,-,-,-,0.6,0.2,-,-,0.1,-,0.2,-,-,-,26.1,-,8.1,-,6.66,2016_2017
Darren Randolph,WHUFC,ie,33,GK,188,98,22,1980,-,-,1,-,-,50.7,0.2,-,-,-,-,-,0.6,-,-,-,-,-,0.1,-,-,-,28.4,-,10.6,-,6.61,2016_2017
Sofiane Feghouli,WHUFC,dz,30,M(CR),177,75,11(10),1040,3,3,1,1,1,71.5,0.4,-,0.9,0.7,0.5,-,0.4,0.2,-,-,0.9,0.9,0.9,-,0.7,0.9,17.9,0.9,1.2,-,6.60,2016_2017
André Ayew,WHUFC,gh,30,"M(CLR),FW",176,72,16(9),1442,6,3,1,-,1.4,79.1,0.8,1,0.7,0.4,0.6,-,0.4,0.4,-,-,0.6,0.5,1.1,0.2,0.9,0.9,17.2,-,0.3,-,6.58,2016_2017
Mark Noble,WHUFC,eng,33,M(C),180,70,29(1),2399,3,-,10,-,0.8,86.1,0.1,-,1.6,1.3,0.9,-,0.4,1.4,0.2,-,0.8,0.5,1.4,-,0.8,0.7,47.8,0.1,4.2,-,6.58,2016_2017
Sam Byram,WHUFC,eng,27,"D(LR),M(R)",180,72,13(5),1248,-,1,5,1,0.4,69.9,1.3,-,1.3,2.3,1.2,0.1,3.3,0.8,0.2,-,0.4,0.2,0.7,0.1,0.4,0.6,24.2,0.2,1.1,0.1,6.55,2016_2017
Álvaro Arbeloa,WHUFC,es,37,D(LR),184,79,1(2),256,-,-,3,-,0.3,86.5,1.3,-,1.7,3,1.7,0.3,2.3,1,0.3,-,0.7,-,1,-,0.3,-,34.7,0.3,1,-,6.52,2016_2017
Håvard Nordtveit,WHUFC,no,30,"D(CR),DMC",188,83,11(5),956,-,1,2,-,0.4,77.7,1.2,-,1.1,1.5,0.7,0.3,1.6,0.6,0.3,-,0.3,0.3,0.5,-,0.3,0.2,25.8,0.1,2.7,-,6.47,2016_2017
Aaron Cresswell,WHUFC,eng,30,"D(CL),M(L)",170,66,24(2),2118,-,2,2,1,0.4,75.5,1.4,1,0.8,1,0.4,0.1,2.3,0.6,0.2,-,0.7,0.3,0.3,0.2,0.7,0.5,29.2,0.7,2.2,-,6.46,2016_2017
Robert Snodgrass,WHUFC,sct,33,M(CLR),182,82,8(7),838,-,2,-,-,0.7,81.6,0.5,-,0.8,0.3,0.9,-,0.5,0.4,0.1,-,1.1,0.3,0.7,0.1,0.7,0.9,19.9,1,0.5,-,6.46,2016_2017
Diafra Sakho,WHUFC,sn,30,FW,184,79,2(2),181,1,-,-,-,0.8,68.8,1.8,-,0.3,-,0.8,-,1,0.3,-,-,0.3,0.5,0.8,1.5,2,0.8,8,0.3,-,-,6.41,2016_2017
Simone Zaza,WHUFC,it,29,FW,186,84,5(3),461,-,-,2,-,2,69.5,2.5,-,0.6,0.4,1.4,-,0.3,0.5,-,-,1,0.4,0.8,0.6,0.8,1.5,13.1,0.1,0.3,-,6.38,2016_2017
Gökhan Töre,WHUFC,tr,28,M(LR),176,70,3(2),241,-,1,-,-,1,71.4,-,-,0.8,-,0.8,-,-,0.8,-,-,1.2,0.6,0.2,0.2,0.6,0.6,11.2,0.8,0.2,0.2,6.33,2016_2017
Enner Valencia,WHUFC,ec,30,"AM(LR),FW",174,74,3,213,-,-,-,-,2.3,83.3,0.7,-,0.3,1.3,3,-,1,1.3,-,-,-,-,1,0.7,1.3,1.7,10,-,0.7,-,6.29,2016_2017
Edimilson Fernandes,WHUFC,ch,24,M(CR),187,77,8(20),988,-,-,4,-,0.7,86.5,0.1,-,0.8,0.7,0.6,-,0.4,0.6,0.1,-,0.2,0.4,0.3,-,0.6,0.5,16.9,0.1,0.8,-,6.26,2016_2017
Jonathan Calleri,WHUFC,ar,27,FW,181,72,4(12),537,1,-,-,-,1,59.7,0.6,-,0.3,0.3,0.6,-,0.2,0.8,-,-,0.4,0.4,0.5,0.6,1.3,1.2,7.4,0.3,0.3,0.1,6.25,2016_2017
Ashley Fletcher,WHUFC,eng,25,"AM(CL),FW",185,78,2(14),354,-,-,2,-,0.6,80.2,0.8,-,0.2,-,0.6,-,0.2,0.2,-,-,0.3,0.2,0.3,0.1,0.4,0.9,5.7,0.1,0.1,-,6.11,2016_2017
Declan Rice,WHUFC,eng,21,"D(C),DMC",185,76,0(1),1,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,6.00,2016_2017
Dimitri Payet,WHUFC,fr,33,M(CLR),175,77,29(1),2573,9,12,3,-,2.3,80.2,0.1,5,0.8,0.8,0.4,-,0.1,0.8,-,-,4,2.2,1.3,0.1,1.7,1.8,42.3,3.1,2.6,0.3,7.74,2015_2016
Michail Antonio,WHUFC,eng,30,"D(R),M(CLR),FW",180,82,23(3),2063,8,3,3,-,2.1,69.6,1.5,2,1.4,2.2,1,-,1.7,0.7,0.2,-,0.9,1.8,1.3,0.4,1.3,2.5,20.1,0.6,1.2,-,7.35,2015_2016
Cheikhou Kouyaté,WHUFC,sn,30,"D(CR),DMC",189,83,34,3010,5,2,5,1,1.3,79.6,2.6,1,2.8,2.2,1.1,0.1,1.7,1.5,0.4,-,0.6,0.9,1.2,0.1,0.9,1.1,36.3,0.1,1.2,-,7.26,2015_2016
Manuel Lanzini,WHUFC,ar,27,AM(CLR),167,59,23(3),1921,6,2,3,-,1.8,88.9,0.2,3,1.3,0.9,0.3,-,0.2,0.8,0.1,-,1.3,2.2,1.2,0.2,1,1.3,42,0.5,1,0.1,7.21,2015_2016
Winston Reid,WHUFC,nz,32,D(C),190,87,24,2136,1,1,5,-,0.7,83.1,2.1,2,1.9,3.2,1,0.7,6.5,0.5,1,1,0.3,0.1,1.1,-,0.1,0.3,34.7,-,3.8,-,7.18,2015_2016
